Evento;Data;Resumo;Fonte 1;Fonte 2;Grau de Evidência;Dano Social;Status;País;Categoria;Prioridade de Verificação
Illuminati (mito moderno sobre controle global);1776–presente;"Origens no bávaro Illuminati (1776); transformou-se em mito de um suposto grupo controlando elites.";https://en.wikipedia.org/wiki/Illuminati;https://www.britannica.com/topic/Illuminati;Baixa;Moderado;Desmentida;;;
Protocols of the Elders of Zion (fraude antissemita);c.1903–1917;"Documento forjado que alegava um plano judaico de dominação mundial; foi usado como propaganda antissemita.";https://en.wikipedia.org/wiki/The_Protocols_of_the_Elders_of_Zion;https://encyclopedia.ushmm.org/content/en/article/protocols-of-the-elders-of-zion;Alta (fraude documentada);Alto;Comprovada;;;
Freemasons (teorias conspiratórias);séculos XVIII–presente;"Organização fraternal com rituais secretos; alvo de alegações de influência oculta em governos e eventos.";https://en.wikipedia.org/wiki/Freemasonry;https://www.britannica.com/topic/Freemasonry;Baixa;Moderado;Desmentida;;;
Reichstag Fire (suspeita de 'false flag');27 Feb 1933;"Incêndio no parlamento alemão; alguns acusaram os nazistas de orquestrar o ataque como pretexto para repressão.";https://en.wikipedia.org/wiki/Reichstag_fire;https://www.britannica.com/event/Reichstag-fire;Média;Alto;Parcialmente confirmada;;;
Operation Northwoods (proposta de false-flag — não executada);1962 (desclassificado 1997);"Planos propostos internamente por militares dos EUA para encenarem incidentes contra civis como pretexto para ação contra Cuba; não aprovados.";https://en.wikipedia.org/wiki/Operation_Northwoods;https://nsarchive2.gwu.edu/news/20010430/northwoods.pdf;Alta (documentado);Moderado;Comprovada;;;
Gulf of Tonkin incident (relatos usados para escalada);2–4 Aug 1964;"Relatos de ataques a navios dos EUA que levaram à resolução do Golfo de Tonkin; mais tarde revelaram-se relatórios duvidosos.";https://en.wikipedia.org/wiki/Gulf_of_Tonkin_incident;https://nsarchive2.gwu.edu/NSAEBB/NSAEBB132/index.htm;Média;Alto;Parcialmente confirmada;;;
Operation Gladio / 'stay-behind' networks;pós-1940s ? 1990s (exposições);"Redes clandestinas anticomunistas na Europa apoiadas por agências ocidentais; alegações de envolvimento em atentados em alguns países.";https://en.wikipedia.org/wiki/Operation_Gladio;https://www.europarl.europa.eu/doceo/document/A-6-2007-0020_EN.html;Alta (documentos/inquéritos);Alto;Parcialmente confirmada;;;
MK-Ultra (programa CIA de pesquisa comportamental);1950s–1960s (desclassificado);"Programa da CIA que pesquisou LSD e técnicas de controlo mental, por vezes com sujeitos não informados; confirmado por documentos e comissões.";https://en.wikipedia.org/wiki/MKUltra;https://www.cia.gov/readingroom/document/06760269;Alta (documentado);Alto;Comprovada;;;
Tuskegee Syphilis Study (experimento médico antiético);1932–1972;"Estudo em que tratamento foi retido de participantes afro-americanos para observar a progressão da sífilis; caso real e escândalo ético.";https://en.wikipedia.org/wiki/Tuskegee_Syphilis_Study;https://www.cdc.gov/tuskegee/about/index.html;Alta (documentado);Extremo;Comprovada;;;
Assassination of John F. Kennedy (teorias diversas);22 Nov 1963;"Muitas teorias (CIA, máfia, Cuba, encobrimento); versão oficial (Warren Commission) diz que Lee Harvey Oswald agiu sozinho, mas dúvidas persistem.";https://en.wikipedia.org/wiki/Assassination_of_John_F._Kennedy;https://www.archives.gov/research/jfk/warren-commission-report;Média;Alto;Inconclusiva;;;
Assassination of Martin Luther King Jr. (teorias de conspiração);4 Apr 1968;"Dúvidas sobre possíveis conspiradores além do atirador condenado; investigações oficiais e pedidos de reabertura surgiram ao longo dos anos.";https://en.wikipedia.org/wiki/Assassination_of_Martin_Luther_King_Jr.;https://www.britannica.com/event/assassination-of-Martin-Luther-King-Jr;Média;Alto;Parcialmente confirmada;;;
Assassination of Robert F. Kennedy (teorias);5 Jun 1968;"Dúvidas e teorias sobre conspiração além de Sirhan Sirhan; estudos e investigações continuam a atrair teorias.";https://en.wikipedia.org/wiki/Assassination_of_Robert_F._Kennedy;https://www.britannica.com/event/assassination-of-Robert-F-Kennedy;Média;Alto;Inconclusiva;;;
Abraham Lincoln assassination (teorias sobre conspiração maior);14 Apr 1865;"John Wilkes Booth e rede de conspiradores; há discussões históricas sobre extensão da conspiração entre confederados.";https://en.wikipedia.org/wiki/Assassination_of_Abraham_Lincoln;https://www.britannica.com/event/assassination-of-Abraham-Lincoln;Alta (documentado juridicamente);Alto;Comprovada;;;
Pearl Harbor (teorias de conhecimento prévio);7 Dec 1941;"Há teorias de que o governo dos EUA tinha conhecimento prévio; historiografia dominante indica falhas de inteligência, enquanto alegações de conspiração ampla são contestadas.";https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor;https://www.archives.gov/research/military/ww2/pearl-harbor;Média;Alto;Parcialmente confirmada;;;
RMS Titanic (teorias: sabotagem, troca com Olympic, etc.);14 Apr 1912;"Várias teorias incluem sabotagem, troca de navio e conspirações de seguro; versão histórica aponta iceberg e falhas estruturais.";https://en.wikipedia.org/wiki/RMS_Titanic_conspiracy_theories;https://www.britannica.com/topic/Titanic-ship;Baixa;Moderado;Desmentida;;;
TWA Flight 800 (teorias de míssil);17 Jul 1996;"Acusações de que o avião foi derrubado por míssil; investigação oficial (NTSB) citou explosão de tanque de combustível como causa.";https://en.wikipedia.org/wiki/TWA_Flight_800_conspiracy_theories;https://www.ntsb.gov/investigations/Pages/TWA800.aspx;Baixa;Moderado;Desmentida;;;
Pan Am Flight 103 / Lockerbie (teorias alternativas);21 Dec 1988;"Conspirações sobre verdadeiros responsáveis e encobrimentos; investigação condenou agentes envolvidos (Metabólico) mas teorias alternativas persistem.";https://en.wikipedia.org/wiki/Pan_Am_Flight_103_conspiracy_theories;https://www.bbc.com/news/uk-scotland-south-scotland-21253620;Média;Alto;Parcialmente confirmada;;;
Malaysia Airlines MH370 (desaparecimento) — teorias de ocultamento/abate;8 Mar 2014;"Desaparecimento inexplicado que gerou diversas teorias (sequestro, abate, encobrimento); investigação oficial não localizou a aeronave por completo.";https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370_disappearance;https://www.bbc.com/news/world-asia-26503141;Baixa;Alto;Inconclusiva;;;
Malaysia Airlines MH17 (abate sobre Ucrânia) — teorias rivais;17 Jul 2014;"Aeronave derrubada sobre Ucrânia; investigações apontaram um míssil Buk; teorias russas/alternativas tentaram atribuir culpa diversa.";https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_17;https://www.bbc.com/news/world-europe-28357880;Alta (investigação internacional);Alto;Comprovada;;;
Roswell UFO incident (queda/encobrimento UFO);July 1947;"Resíduos recuperados em Roswell geraram alegações de disco voador e encobrimento militar; explicações oficiais citam balão do Projeto Mogul.";https://en.wikipedia.org/wiki/Roswell_UFO_incident;https://www.af.mil/The-Roswell-Report/;Baixa;Moderado;Desmentida;;;
Area 51 (base militar e lendas UFO);anos 1950–present;"Base secreta de testes que alimentou histórias sobre tecnologia alienígena; desclassificações confirmaram testes de aeronaves secretas.";https://en.wikipedia.org/wiki/Area_51;https://www.britannica.com/place/Area-51;Média;Moderado;Parcialmente confirmada;;;
Apollo Moon landing hoax theories;1969–present;"Alegações de que as missões Apollo foram forjadas; evidências científicas e independentes refutam; porém teoria persiste em grupos negacionistas.";https://en.wikipedia.org/wiki/Moon_landing_conspiracy_theories;https://www.rmg.co.uk/stories/space-astronomy/moon-landing-conspiracy-theories-debunked;Alta (evidência física);Moderado;Desmentida;;;
9/11 conspiracy theories (inside job, controlled demolition);11 Sep 2001;"Várias teorias alternativas sobre autoria/encobrimento dos ataques; comissão 9/11 atribuiu ataques a Al-Qaeda; debates técnicos persistem entre crentes.";https://en.wikipedia.org/wiki/9/11_conspiracy_theories;https://www.9-11commission.gov/report/911Report.pdf;Média;Extremo;Inconclusiva;;;
Oklahoma City bombing (teorias de encobrimento);19 Apr 1995;"Atentado por Timothy McVeigh; teorias alegaram participação de grupos armados/encobrimento governamental; investigações centram-se em insurreição extremista.";https://en.wikipedia.org/wiki/Oklahoma_City_bombing_conspiracy_theories;https://www.britannica.com/event/Oklahoma-City-bombing;Baixa;Alto;Desmentida;;;
Sandy Hook shooting hoax claims;14 Dec 2012;"Numerosas alegações de encenação que resultaram em assédio às famílias e processos judiciais; propagadores foram responsabilizados legalmente.";https://en.wikipedia.org/wiki/Sandy_Hook_Elementary_School_shooting_conspiracy_theories;https://www.reuters.com/world/us/judge-blocks-sandy-hook-families-settlement-alex-jones-bankruptcy-2025-02-05/;Baixa;Extremo;Desmentida;;;
2017 Las Vegas shooting (teorias alternativas);1 Oct 2017;"Várias teorias sobre número de atiradores e conspiração governamental; investigação oficial atribuiu a um atirador solitário.";https://en.wikipedia.org/wiki/2017_Las_Vegas_shooting_conspiracy_theories;https://www.reviewjournal.com/local/the-strip/mandalay-bay-shooter-suspected-in-las-vegas-shooting-1510176/;Baixa;Moderado;Desmentida;;;
Pizzagate (teorias de rede infantil ligada a políticos);2016;"Reivindicações online sobre tráfico infantil ligado a elites; culminou em ação armada em pizzaria e foi desmentida por investigação jornalística.";https://en.wikipedia.org/wiki/Pizzagate;https://www.washingtonpost.com/news/local/wp/2016/12/06/what-is-pizzagate-how-a-conspiracy-theory-took-hold-of-a-popular-internet-forum-and-led-to-a-shooting/;Baixa;Alto;Desmentida;;;
QAnon (rede de teorias sobre elite pedófila);2017–present;"Conjunto de teorias que alegam uma 'deep state' de elites satânicas; originou-se online e levou a atos violentos e politização extrema.";https://www.britannica.com/topic/QAnon;https://www.nytimes.com/2021/01/11/us/politics/qanon.html;Baixa;Extremo;Desmentida;;;
Vaccines-autism claim (Wakefield);1998 (paper) ? 2010 retraction;"Estudo fraudulento sugeriu ligação entre vacina MMR e autismo; retraction e vasta evidência científica rejeitam relação; gerou movimento antivacina.";https://en.wikipedia.org/wiki/Lancet_MMR_autism_fraud;https://www.cdc.gov/vaccinesafety/concerns/autism.html;"Alta (fraude documentada; evidência contrária)";Extremo;Desmentida;;;
